#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1900.00   -0.008273    0.030852    0.074517    0.023042  -0.0001433   0.0000000   -0.104700    0.000000   -0.023605    0.000000
   1900.05    0.036931    0.028110    0.023038    0.020412  -0.0000553   0.0000000   -0.104703    0.000000   -0.023536    0.000000
   1900.10    0.048625    0.030588    0.012214    0.023913   0.0002544   0.0000000   -0.104620    0.000000   -0.022794    0.000000
   1900.15    0.030049    0.021680    0.001814    0.021691  -0.0003412   0.0000000   -0.104597    0.000000   -0.021746    0.000000
   1900.20    0.028229    0.022865   -0.001639    0.021846   0.0000258   0.0000000   -0.104846    0.000000   -0.020317    0.000000
   1900.25   -0.002569    0.028026   -0.018536    0.023080   0.0001711   0.0000000   -0.105219    0.000000   -0.019253    0.000000
   1900.30   -0.007809    0.019943   -0.026496    0.020740  -0.0001891   0.0000000   -0.105495    0.000000   -0.018466    0.000000
   1900.35   -0.058540    0.021353   -0.040662    0.020622   0.0001352   0.0000000   -0.105477    0.000000   -0.018323    0.000000
   1900.40   -0.064092    0.020571   -0.058526    0.018252   0.0001202   0.0000000   -0.105164    0.000000   -0.018435    0.000000
   1900.45   -0.072290    0.018509   -0.078135    0.019860  -0.0001041   0.0000000   -0.104232    0.000000   -0.018637    0.000000
   1900.50   -0.034580    0.019197   -0.034965    0.017399  -0.0000120   0.0000000   -0.103112    0.000000   -0.019063    0.000000
   1900.55   -0.038485    0.016895   -0.048456    0.019419   0.0001403   0.0000000   -0.101859    0.000000   -0.019063    0.000000
   1900.60   -0.062493    0.021673   -0.008363    0.019690  -0.0001694   0.0000000   -0.100875    0.000000   -0.018949    0.000000
   1900.65   -0.081662    0.022413   -0.026027    0.021048   0.0000064   0.0000000   -0.100243    0.000000   -0.018929    0.000000
   1900.70   -0.080315    0.019373    0.003006    0.019938   0.0001947   0.0000000   -0.100126    0.000000   -0.018968    0.000000
   1900.75   -0.072759    0.020454    0.052657    0.020014  -0.0002481   0.0000000   -0.100372    0.000000   -0.019374    0.000000
   1900.80   -0.083560    0.021643    0.052042    0.018454   0.0001055   0.0000000   -0.100989    0.000000   -0.019951    0.000000
   1900.85   -0.091363    0.028260    0.106121    0.022965   0.0000005   0.0000000   -0.101866    0.000000   -0.020573    0.000000
   1900.90   -0.072979    0.026384    0.122026    0.023370  -0.0001848   0.0000000   -0.102536    0.000000   -0.021442    0.000000
   1900.95   -0.003227    0.022082    0.110774    0.022652   0.0001431   0.0000000   -0.103128    0.000000   -0.022032    0.000000
   1901.00   -0.008997    0.025498    0.105976    0.024580   0.0000935   0.0000000   -0.103258    0.000000   -0.022647    0.000000
   1901.05   -0.002095    0.022836    0.132424    0.025584  -0.0001666   0.0000000   -0.103330    0.000000   -0.022224    0.000000
   1901.10    0.020836    0.028303    0.092553    0.024084   0.0000306   0.0000000   -0.103093    0.000000   -0.021779    0.000000
   1901.15    0.018370    0.027954    0.103710    0.021514   0.0002101   0.0000000   -0.103122    0.000000   -0.020546    0.000000
   1901.20    0.056929    0.023553    0.110397    0.021222  -0.0002306   0.0000000   -0.103352    0.000000   -0.019188    0.000000
   1901.25    0.043534    0.022000    0.065040    0.021959   0.0001522   0.0000000   -0.103650    0.000000   -0.018075    0.000000
   1901.30    0.061387    0.018371    0.062935    0.019515   0.0001837   0.0000000   -0.103901    0.000000   -0.017452    0.000000
   1901.35    0.102848    0.019188    0.037883    0.019404  -0.0002570   0.0000000   -0.103893    0.000000   -0.017216    0.000000
   1901.40    0.082066    0.018702   -0.035329    0.021221   0.0001897   0.0000000   -0.103375    0.000000   -0.017404    0.000000
   1901.45    0.122459    0.017653   -0.030948    0.017566  -0.0000060   0.0000000   -0.102560    0.000000   -0.017707    0.000000
   1901.50    0.138053    0.019360   -0.028081    0.019466  -0.0000843   0.0000000   -0.101248    0.000000   -0.017916    0.000000
   1901.55    0.092845    0.020716   -0.106371    0.018839   0.0001510   0.0000000   -0.100043    0.000000   -0.017932    0.000000
   1901.60    0.069633    0.018277   -0.154103    0.017687   0.0000336   0.0000000   -0.099049    0.000000   -0.018025    0.000000
   1901.65    0.090718    0.016234   -0.123265    0.016970  -0.0001435   0.0000000   -0.098453    0.000000   -0.017778    0.000000
   1901.70    0.057041    0.017381   -0.113118    0.017002   0.0000890   0.0000000   -0.098296    0.000000   -0.018130    0.000000
   1901.75    0.004810    0.021675   -0.085598    0.018248  -0.0000142   0.0000000   -0.098496    0.000000   -0.018404    0.000000
